SID,Last Name,First Name,Visit Type,Duration,
12345678,Sample,John,Climb Time,13,
12345678,Sample,John,Climb Time,3,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,0,
33333333,Demo,Jess,Climb Time,0,
12345678,Sample,John,Climb Time,2,
12345678,Sample,John,Climb Time,6,
12345678,Sample,John,Climb Time,2,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,0,
33333333,Demo,Jess,Climb Time,0,
12345678,Sample,John,Climb Time,2,
12345678,Sample,John,Climb Time,2,
33333333,Demo,Jess,Climb Time,4,
12345678,Sample,John,Climb Time,14,
12345678,Sample,John,Climb Time,4,
33333333,Demo,Jess,Climb Time,0,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,9,
33333333,Demo,Jess,Climb Time,2614,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,0,
87654321,Jones,Barnaby,Climb Time,3,
87654321,Jones,Barnaby,Climb Time,3,
87654321,Jones,Barnaby,Climb Time,0,
12345678,Sample,John,Climb Time,0,
33333333,Demo,Jess,Climb Time,0,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,67,
12345678,Sample,John,Climb Time,67,
33333333,Demo,Jess,Climb Time,0,
87654321,Jones,Barnaby,Climb Time,101,
12345678,Sample,John,Climb Time,37,
33333333,Demo,Jess,Climb Time,28,
12345678,Sample,John,Climb Time,3,
12345678,Sample,John,Climb Time,3,
12345678,Sample,John,Climb Time,0,
12345678,Sample,John,Climb Time,92,
12345678,Sample,John,Climb Time,8,
12345678,Sample,John,Climb Time,1,
33333333,Demo,Jess,Climb Time,0,
33333333,Demo,Jess,Climb Time,3,
87654321,Jones,Barnaby,Climb Time,3,
33333333,Demo,Jess,Climb Time,11,
12345678,Sample,John,Climb Time,75,
12345678,Sample,John,Climb Time,1,
33333333,Demo,Jess,Top Rope,,
